City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,amnat charoen,15.9167,104.75,25.93,84,81,1.85,TH,1685393502
247,cooper's town,26.8667,-77.5167,27.62,63,97,1.0,BS,1685393503
248,suntar,62.1444,117.6319,7.15,86,1,0.7,RU,1685393503
249,daru,-9.0763,143.2092,25.51,86,94,6.35,PG,1685393503
250,reghin-sat,46.7833,24.7167,15.75,76,10,2.37,RO,1685393504
251,neryungri,56.6709,124.6491,5.83,81,95,0.78,RU,1685393504
252,heunghae,36.1125,129.3522,17.54,95,43,0.64,KR,1685393504
253,canicattini bagni,37.0329,15.0634,17.59,72,58,1.32,IT,1685393504
254,swakopmund,-22.6833,14.5333,13.88,76,0,2.24,NA,1685393505
255,bardai,11.65,7.2333,28.4,58,77,6.08,NG,1685393505
256,labrador city,52.9463,-66.9114,14.95,29,0,3.6,CA,1685393506
257,khoyniki,51.8911,29.9552,10.63,70,21,1.09,BY,1685393506
258,senahu,15.4,-89.8333,20.55,73,100,0.28,GT,1685393507
259,salinopolis,-0.6136,-47.3561,27.51,80,40,5.02,BR,1685393507
260,caleta de carquin,-11.0925,-77.6267,22.82,75,18,5.16,PE,1685393507
261,cajati,-24.7361,-48.1228,16.57,96,100,1.07,BR,1685393508
262,spanish springs,39.6491,-119.7074,23.73,39,0,2.57,US,1685393508
263,portage la prairie,49.9728,-98.2926,24.94,57,75,9.77,CA,1685393509
264,sokoni,-6.4333,39.55,25.92,77,17,6.02,TZ,1685393510
265,saudarkrokur,65.7461,-19.6394,11.57,82,100,8.58,IS,1685393510
266,st. john's,47.5649,-52.7093,6.55,82,100,6.69,CA,1685393511
267,walvis bay,-22.9575,14.5053,13.94,62,0,4.12,NA,1685393511
268,rioverde,21.9333,-99.9833,33.34,28,0,4.86,MX,1685393397
269,yuzhno-kurilsk,44.0306,145.8556,7.34,87,32,1.33,RU,1685393511
270,constantia,44.1833,28.65,17.61,84,100,3.94,RO,1685393512
271,lethem,3.3803,-59.7968,27.2,81,98,1.57,GY,1685393512
272,caburan,5.9181,125.6411,26.54,81,66,3.61,PH,1685393512
273,afaahiti,-17.75,-149.2833,23.93,74,5,6.13,PF,1685393512
274,namibe,-15.1961,12.1522,18.73,64,86,5.68,AO,1685393513
275,mount gambier,-37.8333,140.7667,13.13,94,100,3.44,AU,1685393513
276,prince rupert,54.3161,-130.3201,10.83,71,75,2.06,CA,1685393354
277,malvan,16.0667,73.4667,28.09,85,2,4.01,IN,1685393513
278,onega,63.9061,38.1404,7.49,69,48,3.12,RU,1685393513
279,laojunmiao,39.8333,97.7333,10.04,58,4,0.64,CN,1685393514
